bus-stop     公共汽车站
build        建造，创立
bull         公牛
bulletin     公告
bullfight    斗牛
buoy         浮标，救生圈
burn         燃烧，烧伤
burnt down   被烧成平地
burst        爆炸，闯入
bury         掩蔽，埋葬
bus-driver   公车驾驶员
bush         未开垦地
business     职责；商业
businessman 商人，实业家
busman       公共汽车司机
California   加利福尼亚
call at      拜访
caller       呼唤者
calm         使安静
camp         军营，阵营
capital      首都，资本
capsule      容器，封壳
captain      船长，上尉
car park     停车场
carefully    小心地，注意地
carelessly   随便地，粗心地
carry        抬，扛，搬运
cart-load    一车之载量
cause        引起 ；原因

cave         地窖，洞穴
center       中央；中心区
century      世纪；一百个
certain      某一个，一定的
champion     冠军，拥护者
champion     冠军，胜者
channel      海峡；水路；槽
check        检查；制止
cheerful     快乐的，高兴的
chimney      烟囱，玻璃灯罩
choose       挑选，宁愿
Christmas    圣诞节
church       教堂
cigar        雪茄烟
circle       包围，环行
circus       马戏团，杂技场
claim        要求，认领
clavichord   击弦古钢琴
clear        越过，使清澈
clearly      清楚地，清澈地
cliff        悬崖，峭壁
clock        (时)钟，仪表
close        亲密的，接近的
clothes      衣服，被褥
clothing     衣服，被服
club         俱乐部，夜总会
clumsily     笨拙地
coast        海岸，海滨
coincidence 巧合，一致
collapse     使倒塌；倒塌
collect      收集，集中
collection   收藏品，收集
college      大学，协会
comfortable 舒适的

commit       犯；委托
companion    伙伴，同伴
compete      比赛，对抗
competition 比赛，竞争者
complaim     抱怨；控诉
complete     完成，竣工
completely   完全地
concentration  集中，浓缩
condition    条件，状态
confidence   信心，信任
confident    有信心的
confine      限制；边界
confirm      证实
Congo        刚果
connect      连接，结合
conscience   良心
consider     考虑，顾及
considerably 相当地
construct    建造，建设
contain      装着，包含
contents     容纳物，内容
continually  不断地
continue     继续，留
contribute   捐助，助成
control      控制，指挥
control      控制，监督
copper       铜；铜币
cotton-wool 药棉，原棉
countryside 乡下，地方
course       经过，趋势
courtyard    院子，庭院
cover        越过 ；盖子
cow          母牛，奶牛
creature     动物；人
creep        蔓延；蠕动
critic       评论家，批评家
critically   用鉴定的眼光
criticism    挑衅，吹毛求疵
crop         收成，一组
cross        横穿，渡过
crystal      晶莹的，水晶的
curious      好奇的，奇怪的
cursed       可恶的
curtain      窗帘，帘子
Custom House海关大楼
cycle        骑自行车，循环
cyclist      骑自行车者
Dakota       南达科他州
damage       毁坏；损坏
dance        跳舞，手舞足蹈
danger       危险，危险物品
dangerous    危险的
dark         暗的，黑色的
darkness     阴暗，秘密
Darwin       达尔文(城市名)
dead         死的，无生命的
death        死亡，瘟疫
decide       决定，下决心
decision     判决，决议
deep         深的，深沉的
defeat       战胜；破坏
definitely   一定，肯定地
delighted    高兴的，欣喜的
depth        深处，纵深
descend      降落，下来
descent      出舱，斜坡
deserted     废弃的，荒无的
deserve      应得，值得
design       设计，计划
designer     设计者，谋划者
desolate     荒凉的，荒芜的
despair      绝望
desperately 绝望地
destruction  破坏，毁灭
detect       探测，发觉
detective    侦探；侦探的
determine    决心，决意
develop      发展，开发
devote       把…奉献给

diamond      钻石，菱形
diet         节食
difference   差别，区别
different    不同的，各种的
dig          采掘，探究
dinner-party 宴会
disappoint 使失望
discover     发现，泄露
disease      疾病，变质
disguise     伪装，假装
dismay       使惊愕，使沮丧
display      展览；陈列
distance     距离，远离
distant      遥远的，疏远的
district     地区，管
door-bell    门铃
door-knob    门把
double       双重的，加倍的
doubtful     可疑的，疑惧的
Dover        多佛(英国)
downhill     降下；降低
drag        拖，拉，打捞
draw         吸引，拉
drift        漂流，放任自流
drill        钻孔，穿过
drily        干燥地
drink        饮酒，饮料；渴
drive        迫使，驾驶
driver       驾驶员，驱逐者
drunk        醉汉；醉的
due          预定的，应得的
dull         乏味的，迟钝的
duty          责任，本分
each         各，各自，每个
eager        渴望的，焦急的
earth        地球，地面
easier       更容易的
edge         边缘，刀口
effect       效果，影响
effort       努力
Egyption     埃及的；埃及人
elderly      年长的
election     选举，选择
elephant     象
else         别的，其他的
embarrass    使窘迫，使为难
embassy      大使馆

employ       雇用；使用
employer     雇主，老板
enable      使能够
encourage    鼓励，促进
encouragement 鼓励，奖励
end          末了；结束
endless      一望无际的
engine       引擎；机车
Englishman   英国人
enormous     极大的，庞大的
entirely     完全地，整个地
entitle      题目为

 entrance    入口，进入
erect        安装，使竖起
erupt        迸发；长牙
escape       逃脱，逸出
especially   特别，尤其
establish    确立，设立
Europe       欧洲
evade        逃避，回避
even         甚至，连…也
eventually   最后
eventually   终于，最后
ever         任何时候；永远
everybody    每人，人人
everyone     每人，人人
evil         坏的，邪恶的
exactly      正好,准确地
examine      检查，考试
examiner     主考人，审查者
exchange     交换
excitement   激动，兴奋
exclaim      大声说，呼喊
excursion    旅行，远足
exhibition   展览会，陈列品
expect       预期，指望
experience   经历，经验
experiment   试验，实验
expert       专家，能手
explain      说明，解释
explanation  解释，说明
explorer     探险者，探索者

explosion    扩张；爆发

explosive    炸药；爆炸性的
express      表达，表白
extent       范围；广阔
extraordinary不平凡的
extremely    非常地，极端地
factory      工厂，制造厂
fail         不，不能，忘记
fair         博览会
fairly       相当地，公正地
famous       著名的，极好的
fan          狂热爱好者
fanatical    狂热的
fantasy      幻想；怪念头
far          远的
farewell     告别，告别词
fast         酣畅地，牢固地
fear         害怕，敬畏
feet        足，英尺
festival    庆祝，饮宴
fewer        为数更少的
field        田地，原野
field-glasses 小型双筒望远镜
fight        与…搏斗，争取
figure       数码，肖像
finally      最后，终于
finger       手指，指状物
fire         火灾，燃烧
firemen      消防队员们
firm         公司，商行
first        第一；开始
fish         捕、捞；鱼
fisherman    钓鱼者，捕鱼人
fishing      捕鱼；渔场
fix          注视；牢记
flat         一层，公寓
flight       航程，跳跑
flood        水灾；涨潮
flour        面粉；粉状的
flow         流，流动，流畅
follow       跟随，从事
following    接着的，下列的
food         食物，养料
fool         傻子；欺骗
foot         英尺
football     足球，橄榄球
footstep     足迹，脚步
forbid       禁止
foreigner    外国人，陌生人
forest       森林
form         产生；形式
former       从前的，前任的
fortunate    幸运的，幸福的
fortunately 幸运地，幸亏
fortune      命运，运气
framework    框架；组织
free         免费的，自由的
friendly     友好的，亲密的
fright       惊吓，恐怖
frightened   受惊吓的
frightful    可怕的，丑的
fur          裘皮，皮毛衣
furniture    家具，设备
gain         挣到，到达
game         玩耍，运动会
gardening    园艺
gasp         喘气，屏气
gate         大门，通道
gather       聚集，搜集
gaze         凝视，注视
general      总的，全面的
gently       轻轻地
ghost        灵魂，阴影
gift         礼物；天才
glance       (粗略)看一下
glimpse      一瞥，隐约闪现
god          神，上帝，偶像
gold         金币，财富
golden       金黄的，贵重的
goods        商品，动产
government   政府，政权
grass-seed   草籽
gratitude    感谢，感激
great        极大的，伟大的
greater      更大的

Greenwich    格林威治
greenwood    绿林，生材
group        组群，团体，批
grower       种植者，栽培者
guard        卫兵；保卫
guide        为…领路，引导
guiltily     内疚地
gust         阵风，突然一阵
habit        习性；僧袍
hand         指针，手，人手
handsome     大方的
hang         悬挂；绞死，贴
harbour      港口，避难所
hard         努力地；硬
hardly       几乎不；才
harvest      收获，收割
hate         不喜欢，嫌恶
haunted      反复出现的
head         负责人，头儿
headmaster   中小学校长
health       健康，健康状况
heaven       天，天堂，上帝
heavily      大量地，沉重地
heavy        拥挤的，沉重的
height       高度，(复)高地
helicopter   直升飞机
help         援助，促进
helper       助手，帮手
hesitate     迟疑，犹豫
hide         藏，潜伏
history      历史，来历
hitch-hike   搭便车
hobby        业余爱好，嗜好
hold         举行，拥有
hole         孔眼，洞；伤口
honest       老实的，坦率的
honesty      正直，忠实
honour       尊敬，名誉
horse-power 马力
hospital     医院，兽医院
hostess      女主人

hot          热的
however      然而，无论如何
huge         极大的，庞大的
humour       幽默，滑稽
hungry      饥饿的
hurriedly   匆忙地，草率地
Hyde Park    海德公园(伦敦)
immense      巨大的，无限的
impatiently  不耐烦地
important    重要的，重大的
inch         英寸
include      包括，算入
include      包含，包括
income       收入，所得
increase     增加，增殖
inform       通知，报告
inland       向内地，在内地
inn          小客店，小饭店
inn-keeper   酒店主
inquire      打听，调查
inside       在…里面
insist       坚持，强调
inspector    检查员，视察员
instruct     指示，教育
instrument   工具，仪器
intend       打算，企图
interest     兴趣，爱好
interested   感兴趣的
interrupt    打断，阻挠
invasion     侵略，闯入
invent       发明，虚构
iron         铁，铁器；熨斗
island       岛，孤立地区
itself       它自己，它本身
jazz         爵士音乐；花哨的
jeans        牛仔裤
journey      旅行，历程
just then    正当那时
keep away    离开
key          琴键；钥匙
kick         踢，向…反冲
kill         杀死；破坏
laboratory   实验室
ladder       梯子
lake         湖泊，湖水
land         着陆；土地
lane         行车道，狭路
language     语言，语言课
lantern      灯笼，天窗
last         持续；最后的
latch        门闩；.锁上
late         迟的，晚的；迟
laugh        大笑，发笑；笑
lawyer       律师，法学家
lay          放置；使之
layer        层，地层，一层
lead         带领，领导
leading      主要的，领导的
leaf         树叶；花瓣
leap         跳跃，交尾
learn        得知，学会
lend         借给；贷款
length       长，长度；时间
liberty      自由；自由权

lie          位于，躺，平铺
lie          说谎；谎言
life-time    一生，终身
lift         搭便车；提，吊
light        点燃，使光明
lighthouse   灯塔
lime-light   舞台灯光
line         一行(字)，线路
liquid       液体的，流动的
living       生计，生存
local        当地的，地方的
lonely       孤零零的
look for     寻找，期待
lorry        卡车
Los Angeles  洛杉矶

lost         丢失的，失败的
loudly       大声地，高声地
lower        放下，削减
luck         运气，幸运
macaroni     通心粉

machine      机器，机械
machinery    机器，机械
mad          发疯的，疯狂
Madagascar   马达加斯加岛
main         主要的；体力
mainly       主要地，大部分
man          部下，男人
manage       完成，管理
man-powered 人力的
march        走动，行进
mark         标记，符号
market       集市，行情
matador      斗牛士
material     材料，物资
mattress     床垫，垫褥
meantime     某时；当时
meanwhile    同时，其中
measure      有…长；计量
member       会员，社员
mend         修理，订正
mention      说起；提及
message      信息
metal        金属
microphone   麦克风，拾音器
middle       正中，中部
million      百万，百万个
mind         关心，留意
mine         我的
miraculously奇迹般地
mirror       镜子；反射
